"SERIAL","QUESTNNR","STARTED","LASTDATA","SD01","SD02_01","SD23","SD10","SD40","SD41","SD41_03","SD41_04","SD41_05","SD39","SD43","SD44","SD45","SD46","SD47","SD48","SD26","SD13","SD14","SD14_01","SD14_02","SD14_03","SD14_04","SD14_05","SD14_06","SD14_07","SD14_08","SD29","SD29_01","SD29_02","SD29_03","SD29_04","SD29_05","SD29_06","SD29_07","SD29_08","SD16","CV04","CV03","CV07","CV06","CV08","SD30","SD31_01","SD32","SD33","SD27","CV09","SD37_01","SD37_02","SD37_03","SD37_04","AC02_01","AC02_02","AC02_03","AC02_04","AC02_05","AC02_06","AC02_07","AC02_08","AC02_09","AC02_10","SQ02_01","SQ02_02","SQ02_03","SQ02_04","SQ02_08","SQ02_09","SQ02_10","SQ02_13","SQ02_15","SQ02_16","SQ02_17","SQ02_20","SQ02_21","SQ02_24","SQ02_25","SQ02_21_re","SQ02_25_re","emprob","hyper","prosoc","MC01","MC05_01","MC09","MC02","MC06_01","MC10","MC03","MC07_01","MC11","MC04","MC08_01","MC12","PN01_01","PN01_02","PN01_03","PN01_04","PN01_05","PN01_06","PN01_07","PN01_08","PN01_09","PN02_01","PN02_02","PN02_03","PN02_04","PN02_05","PN02_06","PN02_07","PN02_08","PN02_09","aut_sat","com_sat","rel_sat","aut_dis","com_dis","rel_dis","PS01_01","PS01_02","PS01_03","PS01_04","PS01_05","PS01_06","PS01_07","PS01_08","PS01_09","PS01_10","PS01_04_re","PS01_05_re","PS01_07_re","PS01_08_re","pss","DP03_01","DP03_02","DP03_03","DP03_04","DP03_05","DP03_06","DP03_07","DP03_08","DP03_09","DP03_10","DP04_11","DP04_12","DP04_13","DP04_14","DP04_15","DP04_16","DP04_17","DP04_18","DP04_19","DP04_20","DP03_04_re","DP03_08_re","DP04_12_re","DP04_16_re","cesd","FK01_01","FK01_04","FK01_05","FK01_06","FK01_07","FK01_09","FK01_10","FK01_11","FK01_12","FK01_14","FK02_15","FK02_17","FK02_19","FK02_20","FK02_21","FK02_23","FK02_24","FK02_27","FK02_29","FK01_04_re","FK01_05_re","FK02_20_re","FK01_06_re","FK01_10_re","FK02_19_re","FK02_29_re","ST01_01","ST01_02","ST01_03","ST01_04","ST01_05","ST01_06","ST01_07","ST01_08","ST01_09","ST01_10","ST02_01","ST02_02","ST02_03","ST02_04","ST02_05","ST02_06","ST02_07","ST02_08","ST02_09","ST02_10","ST01_01_re","ST01_02_re","ST01_05_re","ST01_08_re","ST01_10_re","ST02_01_re","ST02_05_re","ST02_06_re","ST02_09_re","ST02_10_re","stai","VS01_01","VS01_02","VS01_03","VS01_04","VS01_05","VS01_06","VS01_07","VS01_02_re","vitality","LO02_02","LO02_03","LO02_09","LO02_11","LO02_14","LO02_15","LO02_17","LO02_18","LO02_02_re","LO02_09_re","LO02_15_re","ucla","LS01_01","LS01_02","LS01_03","LS01_04","LS01_05","swls","PW01_01","PW01_02","PW01_03","PW01_04","PW01_05","PW01_06","PW01_07","PW01_08","PW02_09","PW02_10","PW02_11","PW02_12","PW02_13","PW02_14","PW02_15","PW02_16","PW01_01_re","PW01_03_re","PW01_08_re","PW02_10_re","PW02_11_re","pswq","NE01_01","NE01_02","NE01_03","NE01_04","NE01_05","NE01_06","NE01_07","NE02_08","NE02_09","NE02_10","NE02_11","NE02_12","NE02_13","NE02_14","NE03_15","NE03_16","NE03_17","NE03_18","NE03_19","NE03_20","NE03_21","NE01_01_re","NE01_02_re","NE02_08_re","NE02_09_re","NE02_11_re","NE02_12_re","NE03_17_re","NE03_21_re","extra","agree","consc","neurot","open","CV05_01","CV05_02","CV05_03","CV05_04","CV05_05","CV11_01","CV11_02","CV11_03","CV11_04","CV11_05","CV11_06","CV11_07","CV11_08","CV11_09","CV11_10","CV11_11","CV11_12","CV11_13","CV11_14","CV11_15","CV11_16","CV11_01_re","CV11_06_re","CV11_07_re","CV11_09_re","CV11_10_re","pasa_threat","pasa_chall","pasa_sc","pasa_control","pasa_pa","pasa_sa","pasa_stress","state"
"qpBXcG5FuSqIzxo","Baseline","2020-03-31 06:54:31","2020-03-31 11:09:43",1,46,4,8,6,2,TRUE,FALSE,TRUE,8,2,2,3,5,1,1,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,12,1,1,5,1,1,7,1,1,4,1,3,30,6,30,6,2,5,6,4,6,1,7,4,6,2,3,1,NA,1,2,2,1,2,1,3,2,2,1,2,2,2,0,6,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,5,7,7,6,6,7,4,4,1,1,7,1,1,4,7,6.33333333333333,6.66666666666667,6.66666666666667,3,2,1.33333333333333,5,1,5,7,6,4,7,4,2,1,1,2,1,4,2.6,2,1,1,4,2,1,1,4,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,2,5,3,2,3,2,3,4,5,4,5,4,5,2,2,4,4,4,5,4,3,4,4,3,2,4,2,4,4,1,1,3,1,2,4,2,4,4,1,1,1,4,4,2,1,3,4,1,1,2,1,1,1,1,1,2,1,1.25,6,2,5,6,7,6,6,6,6,7,1,6,1,1,7,1,4,1,2,1,1.5,7,7,7,7,7,7,5,1,5,1,1,3,1,5,1,3,5,1,1,3,1,3,1,1,1,3,1,1.5,3,1,4,1,4,3,4,2,2,4,2,3,4,1,5,4,1,5,2,4,2,3,5,4,4,4,3,5,4,3.5,4.25,4.25,2,4.2,4,6,7,6,6,7,7,7,7,4,1,1,7,6,4,6,6,1,5,6,7,1,7,7,2,4,2,5.75,6.5,6.75,3.875,6.625,-2.75,"Hessen"
"lvEInw8nFNVGX0J","Baseline","2020-03-31 18:11:26","2020-03-31 19:08:04",1,45,4,8,6,1,TRUE,FALSE,FALSE,7,2,5,1,1,1,1,4,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,8,1,2,1,5,2,8,3,1,4,1,3,30,14,NA,5,2,2,4,3,6,1,5,1,6,2,1,1,3,1,3,1,1,2,1,3,2,2,1,2,2,2,0,3,8,1,12,4,2,10,3,1,5,2,NA,NA,NA,5,1,1,5,6,3,4,6,5,2,5,2,1,6,3,1,1,6,4.66666666666667,6,4.66666666666667,3.33333333333333,1,1.33333333333333,3,3,2,5,2,1,5,5,2,1,3,6,3,3,2.7,1,1,1,4,3,2,2,2,1,1,3,3,3,1,1,2,1,1,1,2,1,3,2,3,14,1,4,4,2,3,3,2,4,4,2,4,1,1,1,3,3,3,4,5,2,2,5,4,4,5,1,3,1,2,2,2,2,1,2,3,2,3,2,1,1,3,3,2,1,2,2,2,4,3,3,3,2,2,2,3,3,2.2,5,3,6,5,6,5,6,5,5.42857142857143,5,2,5,2,2,5,1,1,3,3,3,2.125,2,4,2,5,1,2.8,2,2,4,1,1,3,1,4,3,1,4,1,2,1,1,1,4,2,2,5,2,2,2,2,3,2,4,5,5,4,4,2,1,5,5,2,5,5,4,4,2,2,5,4,4,2,2,5,1,2,1,4.75,3,3.5,2,2.8,3,3,5,5,2,3,6,5,6,3,3,2,7,3,3,2,2,1,7,2,7,5,5,6,5,5,3.5,5.75,3.75,5.5,4.625,4.625,0,"Berlin"
"TaujogfbhX9fyrZ","Baseline","2020-03-29 01:00:46","2020-03-29 01:28:24",1,42,4,7,8,1,FALSE,FALSE,TRUE,5,2,3,1,1,1,1,3,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11,11,1,1,5,7,2,12,7,5,1,5,5,NA,10,NA,5,2,2,4,2,6,2,6,2,3,2,2,2,3,2,2,1,1,3,2,3,2,2,2,2,2,2,4,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,6,5,4,5,5,6,7,5,4,5,4,3,1,2,4,4.66666666666667,4.66666666666667,4.66666666666667,5,1.66666666666667,3.33333333333333,2,4,7,4,4,4,4,4,2,1,4,4,4,4,3.6,2,1,1,2,2,2,2,2,1,1,3,2,1,1,1,2,1,1,1,1,3,3,3,3,14,3,1,2,1,4,3,1,3,4,5,3,2,1,2,3,3,4,3,4,5,4,4,5,5,5,2,2,3,3,1,2,3,1,1,2,2,2,3,3,2,1,2,2,3,2,2,3,2,3,4,3,3,4,3,3,3,2.7,4,3,2,3,3,3,3,5,3.28571428571429,6,1,5,1,1,6,1,2,2,3,2,1.625,5,5,6,6,5,5.4,4,3,1,3,3,4,2,2,3,2,2,2,4,2,1,1,2,5,4,4,4,2.9375,3,2,5,1,4,2,3,2,1,3,1,2,4,2,2,3,2,5,3,2,4,3,4,4,5,5,4,4,2,3.25,3.75,4.5,2.75,2.6,2,2,6,5,6,2,5,6,2,4,1,1,6,1,1,6,5,5,7,3,6,6,7,7,7,7,5.5,6.5,5.5,4.75,6,5.125,0.875,"Nordrhein-Westfalen"
"SNE54WNT12yWgPe","Baseline","2020-03-31 07:40:32","2020-03-31 08:06:58",1,56,4,7,8,1,FALSE,FALSE,TRUE,6,2,4,1,1,1,1,3,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,12,2,1,6,5,2,11,6,5,1,1,6,0,4,30,5,2,2,5,4,4,3,3,4,4,3,1,1,3,1,3,1,1,2,1,NA,3,3,1,2,1,2,0,2,10,2,17,4,1,19,6,NA,NA,NA,NA,NA,NA,6,2,3,5,4,5,6,4,6,5,2,2,2,4,3,2,2,5,5,4,6,3.33333333333333,2.33333333333333,2,5,5,5,3,4,3,4,5,5,2,5,4,4,3,4.1,2,2,1,4,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,1,3,3,3,15,4,3,2,1,3,4,2,4,4,4,4,4,2,3,3,5,4,3,3,3,4,3,5,4,4,3,2,3,2,2,1,2,2,3,2,3,3,2,1,1,3,3,3,2,2,2,3,2,4,2,2,2,2,2,3,3,2.2,5,3,2,5,5,6,3,5,4.42857142857143,3,3,3,3,3,4,4,4,5,5,4,3.875,6,7,6,6,5,6,2,2,4,3,2,3,4,4,2,3,2,3,3,3,2,3,4,2,2,3,4,2.8125,4,4,5,3,4,2,3,1,4,4,4,3,5,2,3,2,3,3,2,3,3,2,2,5,2,2,3,3,3,2,2.75,4.5,2.25,3.4,4,4,4,5,6,3,6,5,5,6,2,3,6,2,2,5,3,5,5,5,4,5,6,5,6,6,5.5,5.75,5,4.5,5.625,4.75,0.875,"Hessen"
"TNHHlPMVy0of9wF","Baseline","2020-03-31 10:46:02","2020-03-31 11:00:12",1,31,2,8,6,3,TRUE,TRUE,TRUE,4,1,2,2,1,1,1,2,4,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,NA,6,NA,1,11,6,5,1,1,35,NA,20,NA,4,5,5,3,1,5,5,7,6,4,2,1,1,1,1,3,2,1,2,3,2,3,1,2,1,3,3,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,6,6,3,3,6,7,6,6,1,2,4,7,1,4,1,3.33333333333333,5.33333333333333,5.33333333333333,6.33333333333333,2,1.33333333333333,1,7,7,1,1,1,1,1,7,4,7,7,7,7,5.5,3,1,2,2,1,3,3,3,1,3,2,2,2,2,1,1,3,3,1,1,3,2,3,4,24,3,1,1,1,3,3,1,5,4,4,4,3,1,1,5,5,3,3,1,5,5,5,5,5,5,5,2,2,3,3,1,3,3,4,3,3,2,3,1,4,1,2,3,2,2,2,3,3,4,1,2,3,4,3,3,3,2.85,2,7,1,1,1,2,3,1,1.57142857142857,1,1,7,1,7,1,7,4,7,1,7,4.375,1,7,4,7,4,4.6,5,3,5,5,5,5,5,5,5,1,1,5,5,5,5,5,1,1,1,5,5,4.125,3,2,5,5,5,3,2,2,2,5,1,5,5,5,5,5,5,5,5,5,1,3,4,4,4,5,1,1,5,4,2,4.75,4.75,5,7,7,7,7,7,1,7,1,1,7,1,7,4,1,1,1,1,7,7,4,3,7,7,1,7,7,7,7,1.75,2.25,7,2,5,"Hessen"
"2SQQHJQsSLTTKyW","Baseline","2020-03-31 07:05:30","2020-03-31 07:39:47",1,46,4,4,5,1,TRUE,FALSE,FALSE,6,2,4,1,1,1,1,4,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,11,1,1,5,5,1,9,4,1,6,6,19,0,20,0,6,1,2,3,1,5,2,4,2,5,3,2,1,3,1,3,1,1,1,1,NA,3,3,1,3,1,1,0,1,10,2,12,4,2,14,4,NA,NA,NA,NA,NA,NA,5,1,4,4,6,4,6,6,7,2,1,1,1,6,1,1,2,3,3.66666666666667,6,6,1.33333333333333,2.33333333333333,1,1,2,1,6,5,5,6,5,5,1,2,3,2,3,2.5,1,1,1,4,2,1,3,3,1,1,1,3,1,1,1,3,1,1,1,2,1,2,2,2,7,4,1,1,4,2,1,4,3,2,4,3,4,3,1,3,4,2,4,1,5,5,5,2,2,3,5,2,3,2,1,1,2,2,3,1,3,3,1,1,1,3,3,2,1,3,3,3,2,4,2,2,2,2,2,2,2,1.85,4,5,3,3,6,4,4,3,3.85714285714286,7,1,3,1,1,7,1,1,1,5,1,1.5,5,5,6,6,6,5.6,4,1,5,1,1,3,2,5,3,3,4,1,3,1,1,4,2,1,1,3,2,1.875,4,3,4,1,4,4,3,4,5,4,4,2,5,1,5,2,2,5,1,5,1,2,3,2,1,2,4,4,5,2.5,3.5,4,1,4.6,5,5,7,6,3,3,7,6,6,2,1,2,6,1,2,4,5,5,6,5,5,5,7,6,7,6,4.75,6.5,5.25,5.5,5.625,5.375,0.25,"Hessen"
"fPrKBLlxiRzvesc","Baseline","2020-03-29 09:53:19","2020-03-29 10:07:26",1,41,4,8,8,3,TRUE,TRUE,TRUE,6,2,2,3,1,1,1,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,11,11,2,1,1,6,2,10,6,5,1,1,3,NA,8,NA,5,3,2,4,1,5,5,6,6,4,2,3,3,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,5,5,3,5,4,3,6,5,7,5,4,7,6,5,4,4,4.33333333333333,4.33333333333333,6,5,5,7,7,7,5,4,5,2,2,4,4,3,4,6,6,5.3,3,2,2,2,3,3,2,1,2,1,3,2,2,2,1,3,4,4,3,2,3,4,3,2,31,5,3,2,2,4,5,1,4,3,3,4,4,1,2,5,5,4,3,1,3,4,4,4,5,5,5,2,2,3,3,2,3,3,2,3,2,1,3,2,2,3,3,3,4,2,1,3,3,3,3,3,4,2,2,3,4,2.95,1,3,2,2,4,3,3,5,2.85714285714286,5,1,6,4,2,4,1,1,3,2,4,2.25,5,5,5,4,4,4.6,2,4,4,4,4,4,3,3,4,2,2,4,4,4,2,4,4,2,3,4,4,3.625,1,2,5,4,5,5,4,1,3,5,1,4,5,4,4,5,2,5,3,5,1,5,4,5,3,5,2,4,5,5,3.5,5,3.5,4.8,4,4,7,2,7,2,6,2,4,6,1,5,5,2,2,2,2,4,4,4,4,6,7,3,6,6,5.5,5.75,2.75,3.75,5.625,3.25,2.375,"Nordrhein-Westfalen"
"SrH4P35aJEMlCFv","Baseline","2020-03-27 14:52:04","2020-03-27 15:10:11",1,32,4,8,7,2,FALSE,TRUE,TRUE,5,2,3,1,1,1,1,2,2,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,11,1,1,5,1,2,11,6,5,1,4,2,0,4,NA,4,1,3,3,3,4,3,4,3,5,3,1,1,2,2,3,1,2,1,2,3,3,2,2,3,2,1,4,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,3,2,3,5,5,5,3,2,3,1,5,2,4,1,3,3,4,5.33333333333333,2.33333333333333,2.66666666666667,1.66666666666667,2,3,4,5,3,4,5,5,3,3,3,5,3,3,3.3,2,2,2,3,2,2,3,2,1,1,3,2,1,1,1,2,1,1,1,1,2,3,3,3,16,2,2,1,4,2,3,4,4,3,3,2,2,2,2,2,4,3,4,5,4,5,4,2,2,4,1,3,4,3,2,2,1,2,2,2,3,4,1,1,1,2,2,2,3,2,2,2,1,3,3,2,1,3,3,3,3,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baden-Württemberg"
"1NNdLeNdYH6fg1o","Baseline","2020-03-29 12:43:31","2020-03-29 12:53:07",1,42,4,4,8,2,FALSE,TRUE,TRUE,5,2,3,1,1,1,1,3,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,9,3,3,5,5,1,10,5,3,1,1,3,40,6,NA,4,2,4,3,5,3,4,4,2,4,2,2,1,3,2,3,2,1,3,2,3,2,1,2,1,3,3,3,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,2,2,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5.33333333333333,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nordrhein-Westfalen"
"VEZHMTBqT315XPz","Baseline","2020-03-29 13:07:15","2020-03-29 13:54:19",1,37,4,4,5,1,TRUE,FALSE,FALSE,5,2,4,1,1,1,1,4,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,5,4,3,5,5,2,9,3,1,6,4,4,45,18,30,3,3,6,2,2,2,6,2,5,2,2,3,1,3,1,3,2,1,3,1,3,3,2,1,2,2,2,0,7,9,1,5,2,1,12,4,NA,NA,NA,NA,NA,NA,2,2,2,6,3,6,3,5,4,7,2,2,2,6,6,3,3,6,6,4.66666666666667,3,5,2.66666666666667,2,7,6,6,5,4,6,5,3,5,4,3,4,3,5,4.9,3,1,3,2,3,3,3,4,2,4,3,2,1,1,1,3,2,1,1,2,3,1,3,2,23,3,2,1,2,4,4,2,4,4,4,5,5,1,1,4,5,5,3,1,4,5,5,4,4,5,5,2,1,4,3,1,3,4,1,4,1,3,4,2,3,1,2,4,3,2,2,3,4,4,4,4,2,4,3,3,3,3.4,3,3,6,3,7,4,4,5,4.57142857142857,5,1,5,1,1,7,1,6,3,3,1,2.125,5,5,7,7,7,6.2,5,5,1,4,4,4,3,3,5,1,1,5,5,4,5,5,1,5,3,5,5,4.25,1,1,5,3,5,3,5,2,3,4,1,5,4,5,4,4,4,4,4,3,2,5,5,4,3,5,1,2,4,4.25,3.25,4.25,3.75,4,7,7,7,7,7,1,5,5,7,7,3,5,6,3,5,5,3,6,5,5,5,7,5,3,5,3,6.25,4.5,4.5,5.25,5.375,4.875,0.5,"Nordrhein-Westfalen"
"18YQvGGlkZZdbCD","Baseline","2020-03-31 06:41:37","2020-03-31 07:11:17",1,49,2,8,6,0,FALSE,FALSE,FALSE,5,2,3,1,1,1,1,3,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,1,NA,1,NA,2,12,6,1,5,5,2,NA,2,NA,6,1,1,6,1,6,4,5,1,3,2,1,1,2,1,3,2,1,2,1,3,2,2,1,3,2,1,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,7,5,5,7,4,6,2,3,3,3,5,2,1,1,6,6,4.66666666666667,6.66666666666667,2.33333333333333,1.33333333333333,3,4,4,2,5,5,5,5,5,2,2,3,3,3,3,3.1,2,1,1,4,1,1,1,2,1,1,1,3,1,1,2,3,1,1,2,1,1,3,2,2,7,3,4,2,3,3,3,3,5,3,5,3,3,3,2,3,3,2,2,5,2,4,4,3,3,3,1,3,3,2,2,3,1,2,3,2,3,3,2,1,1,3,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,1.8,6,2,2,4,5,5,4,6,4.57142857142857,3,3,3,4,2,6,2,5,5,5,2,3.5,3,2,3,2,6,3.2,1,5,1,5,5,5,5,2,5,1,3,5,4,3,3,4,5,5,4,5,3,4.4375,3,4,5,4,4,3,3,2,1,4,3,2,4,5,3,2,2,4,4,4,2,3,2,4,5,3,4,4,4,2.75,3.25,4.25,4.5,3.8,3,2,3,5,5,4,6,4,4,4,1,4,4,1,6,2,4,4,5,4,4,4,7,4,7,2,4.75,5,3.5,4,4.875,3.75,1.125,"Berlin"
"BBTamOceq8ajyz1","Baseline","2020-03-31 10:13:41","2020-03-31 10:47:53",1,48,2,7,5,3,TRUE,TRUE,TRUE,3,1,2,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,3,NA,5,NA,2,15,10,7,5,5,1,30,5,NA,5,2,2,4,2,6,2,3,2,6,3,1,2,3,1,3,1,1,2,1,3,2,3,1,2,1,2,1,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,2,4,3,6,5,6,7,4,2,2,5,5,1,6,2,2.33333333333333,4.66666666666667,6,5.33333333333333,3,1.66666666666667,1,5,6,4,4,6,4,4,5,4,4,4,4,4,4.3,3,1,1,4,2,2,3,3,1,2,1,3,1,1,1,2,2,1,1,2,1,2,2,3,13,5,1,1,2,2,3,1,4,3,5,4,4,3,1,4,5,2,4,2,5,5,5,4,5,3,4,3,4,3,1,2,3,3,2,3,3,3,3,2,2,3,3,3,1,3,3,2,1,3,3,2,2,2,2,2,2,2.25,4,5,4,4,4,4,4,3,3.85714285714286,7,1,7,1,1,7,1,5,1,1,1,1.5,6,6,6,6,6,6,2,2,3,2,2,4,1,4,1,3,5,3,4,2,1,2,4,3,2,3,1,2.3125,3,1,5,1,5,5,4,2,3,5,1,3,5,2,4,5,2,4,2,2,4,3,5,4,3,5,3,4,2,4.5,4,4.5,2,3.6,4,4,4,4,4,3,5,5,4,6,2,2,5,5,2,4,4,5,5,5,5,5,6,6,3,6,4.75,5.5,5,4.5,5.125,4.75,0.375,"Berlin"
"Sf1EHPb9K0LkxQU","Baseline","2020-03-31 21:57:41","2020-03-31 22:23:29",1,34,4,8,6,1,FALSE,TRUE,FALSE,5,2,3,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,10,1,3,1,1,2,6,1,1,4,4,4,NA,14,NA,6,1,3,5,2,6,4,6,3,5,2,2,1,2,1,2,2,1,1,1,2,1,2,1,2,2,2,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,7,5,7,5,6,3,1,2,2,5,1,4,3,5,4.33333333333333,5.66666666666667,6,1.66666666666667,2.66666666666667,1.66666666666667,1,2,3,6,4,1,5,7,2,1,2,4,3,1,2,2,1,1,4,2,1,2,2,1,1,1,4,1,1,1,3,1,1,1,1,1,3,1,2,6,3,2,2,2,3,1,2,3,3,4,2,3,2,1,3,4,3,4,2,4,4,5,4,4,4,4,3,3,2,3,3,1,2,3,2,4,3,1,1,1,3,3,2,2,3,3,2,2,2,2,1,2,2,2,2,2,1.8,6,2,3,5,6,5,5,6,5.14285714285714,6,1,5,2,1,5,1,4,2,3,3,2.125,5,6,6,7,6,6,3,1,4,2,1,1,2,4,2,3,5,1,3,1,1,2,3,2,2,3,1,1.75,4,3,4,1,4,4,4,1,2,4,3,4,5,1,5,3,3,4,1,4,1,2,3,5,4,3,2,3,5,3,3,4.5,1.75,4.4,3,4,6,5,5,4,3,5,5,5,4,2,4,4,2,5,4,3,6,3,1,4,4,6,4,6,4,4.75,4.75,3.5,4.375,4.125,0.25,"Baden-Württemberg"
